Cliente,Tipo,AntiguedadMeses,CategoriaCliente
Almacén Don Pedro,Almacén,35,B
Supermercados DIA % S.A.,Supermercado,6,C
Distribuidora Quick S.A.,Distribuidor,27,B
Supermercados La Anónima,Supermercado,51,A
Mayorista Precio Bajo,Almacén,20,B
Maxikiosco Luz,Almacén,26,A
Carrefour Argentina S.A.,Almacén,13,C
Supermercado Coto S.A.,Supermercado,32,A
Mayorista El Economico,Almacén,26,B
Distribuidora Rápida,Distribuidor,37,C
Almacén San José,Almacén,8,B
Distribuidora El Norte,Distribuidor,60,B
Supermercados Changomás,Supermercado,38,B
Almacén El Cruce,Almacén,48,A
Kiosco 24 Horas,Almacén,14,A
Supermercados Walmart Argentina,Supermercado,36,C
Almacén El Progreso,Almacén,53,A
Kiosco Central,Almacén,41,B
Supermercados Vea S.A.,Supermercado,51,A
Supermercados Jumbo S.A.,Supermercado,29,B
