Sucursal,Zona,Mes,Alquiler,Sueldos,Servicios,Logistica,OtrosCostos
CABA_Centro,CABA,2022-01,181256,784155,114283,162758,148754
CABA_Centro,CABA,2022-02,209717,632069,150875,167916,109896
CABA_Centro,CABA,2022-03,148202,1148031,105421,144406,145829
CABA_Centro,CABA,2022-04,187586,1139337,142196,181122,100480
CABA_Centro,CABA,2022-05,184749,620052,90110,253609,76833
CABA_Centro,CABA,2022-06,199665,761350,129287,136910,137039
CABA_Centro,CABA,2022-07,98727,588509,129902,293370,108557
CABA_Centro,CABA,2022-08,240475,1040915,178743,203332,120334
CABA_Centro,CABA,2022-09,148395,992745,101683,235975,93019
CABA_Centro,CABA,2022-10,166179,813537,117871,134835,80492
CABA_Centro,CABA,2022-11,122848,1149479,111854,269309,105878
CABA_Centro,CABA,2022-12,117286,593901,94979,265029,118361
CABA_Norte,CABA,2022-01,113291,686604,151725,135416,136056
CABA_Norte,CABA,2022-02,90104,645809,174897,215927,126690
CABA_Norte,CABA,2022-03,142585,1113938,113075,295584,124546
CABA_Norte,CABA,2022-04,168441,795905,98634,239823,139565
CABA_Norte,CABA,2022-05,137139,611519,126453,225021,122564
CABA_Norte,CABA,2022-06,218402,557528,93714,125020,149836
CABA_Norte,CABA,2022-07,227030,759267,110490,260998,144405
CABA_Norte,CABA,2022-08,194905,576466,118999,178663,103296
CABA_Norte,CABA,2022-09,80023,761128,150379,292699,82406
CABA_Norte,CABA,2022-10,218769,586166,149956,182024,65039
CABA_Norte,CABA,2022-11,166622,618505,107072,144251,129312
CABA_Norte,CABA,2022-12,223892,631693,104133,241688,117298
GBA_Sur,GBA,2022-01,229312,879277,125071,152595,68349
GBA_Sur,GBA,2022-02,168819,862422,89634,121314,84838
GBA_Sur,GBA,2022-03,189184,935892,111313,279736,142086
GBA_Sur,GBA,2022-04,231839,757207,154620,188584,86179
GBA_Sur,GBA,2022-05,126834,563002,80550,156694,82737
GBA_Sur,GBA,2022-06,175414,909003,164667,153638,116444
GBA_Sur,GBA,2022-07,91124,938883,163099,193460,78918
GBA_Sur,GBA,2022-08,240722,981007,138998,288566,99716
GBA_Sur,GBA,2022-09,191815,775889,111420,207713,98526
GBA_Sur,GBA,2022-10,231907,901643,153766,150482,90519
GBA_Sur,GBA,2022-11,195312,534091,98636,242211,146222
GBA_Sur,GBA,2022-12,134203,1068600,160524,196397,147635
GBA_Oeste,GBA,2022-01,214674,1033124,115178,244298,62538
GBA_Oeste,GBA,2022-02,92825,1053834,85381,238526,96844
GBA_Oeste,GBA,2022-03,211893,732826,102456,195134,78775
GBA_Oeste,GBA,2022-04,202979,732264,128458,262745,132036
GBA_Oeste,GBA,2022-05,246231,1190114,116306,247534,75881
GBA_Oeste,GBA,2022-06,187670,1037723,160947,182108,113999
GBA_Oeste,GBA,2022-07,203106,529938,156086,168015,129427
GBA_Oeste,GBA,2022-08,187278,1080967,175697,292388,131101
GBA_Oeste,GBA,2022-09,91825,584485,108447,243341,93495
GBA_Oeste,GBA,2022-10,87625,943236,102396,123907,119315
GBA_Oeste,GBA,2022-11,138795,1121339,103327,281362,73038
GBA_Oeste,GBA,2022-12,233047,642284,138794,175695,136795
La_Plata,Interior,2022-01,210479,782928,155951,203321,143470
La_Plata,Interior,2022-02,226932,1104339,130295,209915,84330
La_Plata,Interior,2022-03,204092,833351,136601,182708,106026
La_Plata,Interior,2022-04,108069,990926,146507,175497,124815
La_Plata,Interior,2022-05,145817,1035780,170886,156522,132410
La_Plata,Interior,2022-06,169225,865620,81336,284504,124116
La_Plata,Interior,2022-07,212521,641360,87595,262585,137308
La_Plata,Interior,2022-08,207026,951287,160018,229084,66266
La_Plata,Interior,2022-09,234291,1149315,131210,277114,133132
La_Plata,Interior,2022-10,213325,606245,168361,200956,75044
La_Plata,Interior,2022-11,203574,992971,96608,264982,107953
La_Plata,Interior,2022-12,186717,982936,153440,266230,69547
Rosario,Interior,2022-01,106000,1108287,97763,246895,131391
Rosario,Interior,2022-02,107568,645623,147374,185982,100940
Rosario,Interior,2022-03,156010,1164266,170035,237978,74238
Rosario,Interior,2022-04,175933,867295,134318,237972,105924
Rosario,Interior,2022-05,151136,596196,113650,192724,96976
Rosario,Interior,2022-06,98699,689769,147827,124735,130889
Rosario,Interior,2022-07,166390,914674,147868,158210,66706
Rosario,Interior,2022-08,86049,542411,175862,295029,70381
Rosario,Interior,2022-09,148545,901883,169028,174495,80665
Rosario,Interior,2022-10,109614,999636,82682,184527,75256
Rosario,Interior,2022-11,110693,910621,99251,294600,116571
Rosario,Interior,2022-12,197097,872451,165149,198389,83495
Córdoba,Interior,2022-01,101185,888193,106446,182763,122096
Córdoba,Interior,2022-02,216953,855004,111645,167841,114461
Córdoba,Interior,2022-03,138488,860276,90287,135977,147188
Córdoba,Interior,2022-04,140873,655383,118948,173747,81125
Córdoba,Interior,2022-05,191035,658617,130752,158379,95204
Córdoba,Interior,2022-06,87916,1138113,145298,175878,92326
Córdoba,Interior,2022-07,114740,1050492,177224,167701,101974
Córdoba,Interior,2022-08,132593,1153782,120943,287435,104085
Córdoba,Interior,2022-09,194767,921630,138218,193758,121912
Córdoba,Interior,2022-10,184262,815732,108478,161192,137983
Córdoba,Interior,2022-11,163669,502286,159758,241214,122114
Córdoba,Interior,2022-12,162971,1193264,131750,142058,120244
Mendoza,Interior,2022-01,201347,940371,83484,249536,118195
Mendoza,Interior,2022-02,179906,682792,95422,176102,102762
Mendoza,Interior,2022-03,225598,1176831,151782,189834,73855
Mendoza,Interior,2022-04,119991,924127,122137,230215,88041
Mendoza,Interior,2022-05,129894,1004896,137964,159249,130138
Mendoza,Interior,2022-06,116494,648948,142241,206506,135712
Mendoza,Interior,2022-07,163114,916634,97401,179747,74562
Mendoza,Interior,2022-08,134607,781275,149415,284971,102469
Mendoza,Interior,2022-09,190479,960587,160581,242788,107603
Mendoza,Interior,2022-10,117379,931065,83866,166493,120787
Mendoza,Interior,2022-11,152412,1090949,139798,152709,123557
Mendoza,Interior,2022-12,162978,969035,173507,263792,92333
