Sucursal,SKU,Producto,Categoria,Subcategoria,Proveedor,StockActual,StockMinimo,StockMaximo,CostoUnitario,PrecioVenta,ValorStock,DiasStock,EstadoStock,Unidad,PesoUnitario,Ubicacion
CABA_Centro,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,Harinas,Molino Favorita,433,129,866,420,650,181860,23.2,Optimo,kg,1.0,PAS-8-EST-4
CABA_Centro,ALK-002,Azúcar Ledesma 1kg,ALMACEN,Endulzantes,Ledesma S.A.,249,74,498,350,520,87150,9.8,Critico,kg,1.0,PAS-1-EST-5
CABA_Centro,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,Arroces,Molinos Gallo,424,127,848,580,850,245920,20.1,Optimo,kg,1.0,PAS-2-EST-3
CABA_Centro,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,Fideos,Matarazzo S.A.,300,90,600,280,420,84000,41.5,Optimo,g,0.5,PAS-2-EST-4
CABA_Centro,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,Aceites,Aceitera Natura,406,121,812,1250,1850,507500,21.1,Optimo,lt,1.5,PAS-1-EST-3
CABA_Centro,BEB-001,Agua Villa del Sur 2L,BEBIDAS,Aguas,Villa del Sur S.A.,127,38,254,220,350,27940,16.6,Optimo,lt,2.0,PAS-4-EST-2
CABA_Centro,BEB-002,Coca-Cola 2.25L,BEBIDAS,Gaseosas,Coca-Cola Argentina,424,127,848,680,980,288320,25.5,Optimo,lt,2.25,PAS-9-EST-5
CABA_Centro,BEB-003,Cerveza Quilmes 1L,BEBIDAS,Cervezas,Cervecería Quilmes,452,135,904,350,520,158200,20.8,Optimo,lt,1.0,PAS-10-EST-5
CABA_Centro,BEB-004,Vino Tinto Toro 1L,BEBIDAS,Vinos,Bodega Toro,407,122,814,850,1250,345950,15.4,Optimo,lt,1.0,PAS-8-EST-3
CABA_Centro,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,Desinfectantes,Ayudín S.A.,87,26,174,350,520,30450,3.8,Critico,lt,1.0,PAS-9-EST-1
CABA_Centro,LIM-002,Detergente Magistral 750ml,LIMPIEZA,Detergentes,Magistral S.A.,235,70,470,400,600,94000,16.9,Optimo,ml,0.75,PAS-7-EST-2
CABA_Centro,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,Jabones,Unilever Argentina,231,69,462,580,850,133980,29.9,Optimo,g,0.8,PAS-4-EST-4
CABA_Centro,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,Leches,Mastellone Hnos.,119,35,238,280,420,33320,4.5,Critico,lt,1.0,PAS-6-EST-3
CABA_Centro,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,Quesos,La Paulina S.A.,492,147,984,850,1250,418200,120.0,Exceso,g,0.4,PAS-6-EST-3
CABA_Centro,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,Yogures,Mastellone Hnos.,469,140,938,150,220,70350,51.9,Optimo,g,0.19,PAS-10-EST-4
CABA_Norte,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,Harinas,Molino Favorita,451,135,902,420,650,189420,70.8,Exceso,kg,1.0,PAS-7-EST-4
CABA_Norte,ALK-002,Azúcar Ledesma 1kg,ALMACEN,Endulzantes,Ledesma S.A.,419,125,838,350,520,146650,18.7,Optimo,kg,1.0,PAS-10-EST-4
