MovimientoID,Fecha,Sucursal,SKU,Producto,Categoria,TipoMovimiento,Cantidad,CostoUnitario,ValorMovimiento,Referencia,Usuario,Mes,Semana
MOV2024000001,2024-01-25,Mendoza,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,COMPRA,323,280,90440,OC20243413,USER013,2024-01,2024-W03
MOV2024000002,2024-01-14,Rosario,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,64,850,54400,VTA20241987,USER019,2024-01,2024-W02
MOV2024000003,2024-01-20,Córdoba,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,VENTA,65,420,27300,VTA20249136,USER003,2024-01,2024-W02
MOV2024000004,2024-01-26,La_Plata,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,COMPRA,327,580,189660,OC20243156,USER009,2024-01,2024-W03
MOV2024000005,2024-03-13,La_Plata,BEB-002,Coca-Cola 2.25L,BEBIDAS,VENTA,82,680,55760,VTA20244937,USER001,2024-03,2024-W10
MOV2024000006,2024-02-14,Córdoba,BEB-004,Vino Tinto Toro 1L,BEBIDAS,COMPRA,120,850,102000,OC20249071,USER016,2024-02,2024-W06
MOV2024000007,2024-02-03,Rosario,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,COMPRA,395,1250,493750,OC20245352,USER003,2024-02,2024-W04
MOV2024000008,2024-02-13,Córdoba,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,57,280,15960,VTA20246662,USER017,2024-02,2024-W06
MOV2024000009,2024-01-27,Córdoba,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,23,150,3450,VTA20245701,USER008,2024-01,2024-W03
MOV2024000010,2024-01-31,Rosario,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,AJUSTE,-19,150,-2850,AJU20243861,USER007,2024-01,2024-W04
MOV2024000011,2024-03-08,GBA_Oeste,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,VENTA,55,580,31900,VTA20245486,USER004,2024-03,2024-W09
