Mes,TotalReservas,Checkins,Checkouts,NoShows,Cancelaciones,TasaOcupacion,TotalRevenue,ADR,RevPAR,NochesTotales,TasaCancelacion
2023-01,2120,498,1411,112,99,277.3,223262005.36,158229.63,90025.0,6876,4.7
2023-02,1948,503,1242,110,93,284.5,206969372.73,166642.01,92397.04,6373,4.8
2023-03,1884,460,1253,78,93,248.1,198670205.76,158555.63,80108.95,6154,4.9
2023-04,1818,448,1163,104,103,250.1,196722823.81,169151.18,81967.84,6003,5.7
2023-05,1562,399,1007,74,82,207.4,164681269.46,163536.51,66403.74,5144,5.2
2023-06,1508,373,996,66,73,203.3,157773273.61,158406.9,65738.86,4879,4.8
2023-07,2118,518,1400,99,101,268.8,215007423.11,153576.73,86696.54,6667,4.8
2023-08,1560,411,1017,72,60,202.2,164412974.3,161664.67,66295.55,5015,3.8
2023-09,1528,370,1024,59,75,208.8,162921145.47,159102.68,67883.81,5011,4.9
2023-10,1870,475,1215,98,82,248.3,198140310.02,163078.44,79895.29,6157,4.4
2023-11,1750,438,1124,103,85,240.3,187350489.77,166681.93,78062.7,5768,4.9
2023-12,2140,593,1332,105,110,279.1,225545023.09,169328.1,90945.57,6921,5.1
