OC_ID,FechaPedido,FechaEsperada,Sucursal,Proveedor,SKU,Producto,CantidadPedida,CantidadRecibida,CostoUnitario,TotalOC,Estado,DiasAtraso
OC202400001,2024-03-04,2024-03-15,La_Plata,Bodega Toro,BEB-004,Vino Tinto Toro 1L,130,39,850,110500,PARCIAL,0
OC202400002,2024-02-15,2024-03-01,La_Plata,Magistral S.A.,LIM-002,Detergente Magistral 750ml,233,14,400,93200,PARCIAL,0
OC202400003,2024-02-19,2024-02-24,Córdoba,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,662,509,580,383960,PENDIENTE,20
OC202400004,2024-03-10,2024-03-24,Mendoza,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,260,254,350,91000,PENDIENTE,0
OC202400005,2024-02-22,2024-03-06,La_Plata,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,691,479,680,469880,PENDIENTE,9
OC202400006,2024-02-14,2024-02-26,GBA_Sur,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,548,531,220,120560,COMPLETADO,0
OC202400007,2024-03-10,2024-03-19,Mendoza,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,852,810,150,127800,PARCIAL,0
OC202400008,2024-02-14,2024-02-17,CABA_Centro,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,238,177,280,66640,PARCIAL,0
OC202400009,2024-03-01,2024-03-08,Rosario,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,552,395,350,193200,ATRASADO,7
OC202400010,2024-03-10,2024-03-17,La_Plata,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,860,625,150,129000,COMPLETADO,0
OC202400011,2024-03-05,2024-03-17,GBA_Oeste,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,707,520,350,247450,PENDIENTE,0
OC202400012,2024-02-21,2024-02-27,Rosario,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,308,0,150,46200,PARCIAL,0
OC202400013,2024-03-01,2024-03-12,CABA_Norte,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,401,299,580,232580,PARCIAL,0
OC202400014,2024-02-26,2024-03-04,Córdoba,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,191,81,150,28650,COMPLETADO,0
OC202400015,2024-03-03,2024-03-14,Mendoza,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,493,37,850,419050,COMPLETADO,0
OC202400016,2024-03-08,2024-03-13,CABA_Centro,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,363,199,280,101640,PENDIENTE,2
OC202400017,2024-02-19,2024-02-28,GBA_Oeste,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,375,298,280,105000,COMPLETADO,0
OC202400018,2024-03-08,2024-03-23,GBA_Oeste,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,112,97,850,95200,COMPLETADO,0
OC202400019,2024-03-12,2024-03-19,GBA_Oeste,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,852,552,350,298200,PARCIAL,0
OC202400020,2024-02-24,2024-03-05,GBA_Oeste,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,740,689,580,429200,PENDIENTE,10
OC202400021,2024-03-01,2024-03-07,Rosario,Mastellone Hnos.,LAC-001,Leche Entera La Serenísima 1L,851,216,280,238280,PENDIENTE,8
OC202400022,2024-03-07,2024-03-12,Córdoba,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,734,428,850,623900,PENDIENTE,3
OC202400023,2024-02-19,2024-02-22,CABA_Centro,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,481,343,220,105820,PENDIENTE,22
OC202400024,2024-02-20,2024-02-23,CABA_Centro,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,320,85,420,134400,COMPLETADO,0
OC202400025,2024-02-24,2024-02-27,CABA_Centro,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,142,117,850,120700,PARCIAL,0
