VentaID,Fecha,Sucursal,Zona,Cliente,Categoria,Producto,Cantidad,PrecioUnitario,CostoUnitario,CostoTotal,Descuento,TotalVenta,Ganancia,MargenPorcentaje,Mes,Trimestre,Rentabilidad
VTA2022000001,2022-01-27,La_Plata,Interior,Supermercados Jumbo S.A.,LACTEOS,Queso Cremón La Paulina 400g,6,600.88,520,3120,0.0,3605.28,485.2800000000002,13.46,2022-01,T1-2022,Baja
VTA2022000002,2022-07-14,Rosario,Interior,Kiosco 24 Horas,ALMACEN,Arroz Largo Fino Gallo 1kg,79,407.6,350,27650,3865.84,28334.56,684.5600000000013,2.42,2022-07,T3-2022,Baja
VTA2022000003,2022-05-06,GBA_Sur,GBA,Supermercado Coto S.A.,LACTEOS,Leche Entera La Serenísima 1L,28,253.79,180,5040,0.0,7106.12,2066.12,29.08,2022-05,T2-2022,Alta
VTA2022000004,2022-01-04,Rosario,Interior,Mayorista El Economico,ALMACEN,Harina 0000 Favorita 1kg,26,287.65,250,6500,0.0,7478.9,978.8999999999996,13.09,2022-01,T1-2022,Baja
VTA2022000005,2022-01-11,La_Plata,Interior,Distribuidora El Norte,LACTEOS,Queso Cremón La Paulina 400g,6,662.93,520,3120,0.0,3977.58,857.5799999999999,21.56,2022-01,T1-2022,Media
VTA2022000006,2022-06-06,Rosario,Interior,Mayorista Precio Bajo,LACTEOS,Yogur Firme La Serenísima 190g,37,132.15,95,3515,0.0,4889.55,1374.5500000000002,28.11,2022-06,T2-2022,Alta
VTA2022000007,2022-10-17,Rosario,Interior,Supermercado Coto S.A.,LACTEOS,Dulce Leche Verónica 400g,38,480.07,380,14440,0.0,18242.66,3802.66,20.84,2022-10,T4-2022,Media
VTA2022000008,2022-11-23,Mendoza,Interior,Mayorista Precio Bajo,LACTEOS,Queso Cremón La Paulina 400g,15,669.93,520,7800,0.0,10048.95,2248.9500000000007,22.38,2022-11,T4-2022,Media
VTA2022000009,2022-09-07,La_Plata,Interior,Supermercados Vea S.A.,LIMPIEZA,Jabón Polvo Ala 800g,17,456.01,350,5950,0.0,7752.17,1802.17,23.25,2022-09,T3-2022,Media
VTA2022000010,2022-08-22,Córdoba,Interior,Kiosco Central,LIMPIEZA,Lavandina Ayudín 1L,19,260.13,220,4180,0.0,4942.47,762.4700000000003,15.43,2022-08,T3-2022,Media
VTA2022000011,2022-11-18,Rosario,Interior,Supermercado Coto S.A.,LIMPIEZA,Detergente Magistral 750ml,72,313.47,250,18000,3765.54,18804.3,804.2999999999993,4.28,2022-11,T4-2022,Baja
VTA2022000012,2022-01-31,La_Plata,Interior,Distribuidora Quick S.A.,BEBIDAS,Agua Saborizada Villavicencio 500ml,13,173.23,120,1560,0.0,2251.99,691.9899999999998,30.73,2022-01,T1-2022,Alta
VTA2022000013,2022-08-16,Córdoba,Interior,Mayorista El Economico,ALMACEN,Harina 0000 Favorita 1kg,32,291.12,250,8000,0.0,9315.84,1315.8400000000001,14.12,2022-08,T3-2022,Baja
VTA2022000014,2022-01-11,La_Plata,Interior,Maxikiosco Luz,LIMPIEZA,Suavizante Vivere 1L,8,398.79,300,2400,0.0,3190.32,790.3200000000002,24.77,2022-01,T1-2022,Media
VTA2022000015,2022-02-25,CABA_Norte,CABA,Mayorista Precio Bajo,LIMPIEZA,Desengrasante Grasa Relief 500ml,63,321.8,280,17640,3805.27,16468.13,-1171.869999999999,-7.12,2022-02,T1-2022,Baja
VTA2022000016,2022-07-13,CABA_Norte,CABA,Almacén El Cruce,LACTEOS,Leche Entera La Serenísima 1L,20,260.13,180,3600,0.0,5202.6,1602.6000000000004,30.8,2022-07,T3-2022,Alta
VTA2022000017,2022-08-30,CABA_Centro,CABA,Almacén El Cruce,LIMPIEZA,Suavizante Vivere 1L,28,370.49,300,8400,0.0,10373.72,1973.7199999999993,19.03,2022-08,T3-2022,Media
VTA2022000018,2022-08-03,CABA_Norte,CABA,Almacén Punto de Venta,BEBIDAS,Fernet Branca 750ml,9,2413.24,1800,16200,0.0,21719.16,5519.16,25.41,2022-08,T3-2022,Alta
VTA2022000019,2022-11-18,CABA_Centro,CABA,Mayorista Precio Bajo,LACTEOS,Dulce Leche Verónica 400g,22,463.99,380,8360,0.0,10207.78,1847.7800000000007,18.1,2022-11,T4-2022,Media
VTA2022000020,2022-07-19,Rosario,Interior,Supermercados Walmart Argentina,LIMPIEZA,Limpiador Cif Crema 500g,29,382.62,330,9570,0.0,11095.98,1525.9799999999996,13.75,2022-07,T3-2022,Baja
VTA2022000021,2022-08-10,CABA_Centro,CABA,Supermercados Walmart Argentina,LACTEOS,Leche Entera La Serenísima 1L,32,222.36,180,5760,0.0,7115.52,1355.5200000000004,19.05,2022-08,T3-2022,Media
VTA2022000022,2022-08-08,CABA_Centro,CABA,Supermercados Vea S.A.,LIMPIEZA,Limpiador Cif Crema 500g,25,425.65,330,8250,0.0,10641.25,2391.25,22.47,2022-08,T3-2022,Media
VTA2022000023,2022-09-14,CABA_Norte,CABA,Almacén El Cruce,LIMPIEZA,Detergente Magistral 750ml,51,353.71,250,12750,1644.14,16395.07,3645.0699999999997,22.23,2022-09,T3-2022,Media
VTA2022000024,2022-05-05,GBA_Oeste,GBA,Kiosco 24 Horas,LIMPIEZA,Suavizante Vivere 1L,72,340.26,300,21600,2196.15,22302.57,702.5699999999997,3.15,2022-05,T2-2022,Baja
VTA2022000025,2022-04-11,GBA_Oeste,GBA,Supermercado Coto S.A.,BEBIDAS,Vino Tinto Toro 1L,9,679.29,520,4680,0.0,6113.61,1433.6099999999997,23.45,2022-04,T2-2022,Media
VTA2022000026,2022-11-04,Rosario,Interior,Supermercados Jumbo S.A.,LIMPIEZA,Limpiador Cif Crema 500g,76,428.15,330,25080,3132.03,29407.37,4327.369999999999,14.72,2022-11,T4-2022,Baja
VTA2022000027,2022-09-05,Mendoza,Interior,Almacén San José,ALMACEN,Aceite Girasol Natura 1.5L,70,1016.66,750,52500,8601.33,62564.87,10064.870000000003,16.09,2022-09,T3-2022,Media
VTA2022000028,2022-04-25,GBA_Sur,GBA,Distribuidora Rápida,ALMACEN,Mermelada La Campagnola 454g,71,396.31,300,21300,3410.53,24727.48,3427.4799999999996,13.86,2022-04,T2-2022,Baja
