ReservaID,FechaReserva,FechaEntrada,FechaSalida,HabitacionID,TipoHabitacion,Categoria,Plan,TarifaNoche,Noches,TotalReserva,Descuento,Estado,Mercado,Origen,Nacionalidad,CanalReserva,TipoHuesped,Adultos,Ninos,EsTemporadaAlta,Mes,Trimestre
RES2023000001,2022-12-29,2023-01-01,2023-01-04,SUI072,Suite,Lujo,Todo Incluido,63525.0,3,190575.0,0.0,Check-out,Europa,Alemania,Europa,Expedia,Pareja,3,2,True,2023-01,T1-2023
RES2023000002,2022-10-12,2023-01-01,2023-01-03,STA034,Standard,Standard,Solo Alojamiento,18500.0,2,33584.17,3415.83,Check-in,Otros,Chile,Otros,Booking.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000003,2022-10-11,2023-01-01,2023-01-04,STA009,Standard,Standard,Alojamiento + Desayuno,23125.0,3,69375.0,0.0,Check-in,Brasil,Rio de Janeiro,Brasil,Sitio Web Directo,Familia,2,0,True,2023-01,T1-2023
RES2023000004,2022-11-18,2023-01-01,2023-01-04,SUI061,Suite,Lujo,Alojamiento + Desayuno,48125.0,3,144375.0,0.0,Check-in,Europa,Italia,Europa,Agencia de Viajes,Pareja,3,2,True,2023-01,T1-2023
RES2023000005,2022-11-02,2023-01-01,2023-01-04,STA030,Standard,Standard,Todo Incluido,30525.0,3,91575.0,0.0,Check-out,Otros,Colombia,Otros,Booking.com,Individual,1,0,True,2023-01,T1-2023
RES2023000006,2022-10-08,2023-01-01,2023-01-03,FAM078,Familiar,Familiar,Alojamiento + Desayuno,39375.0,2,78750.0,0.0,Check-in,Argentina,Mendoza,Argentina,Sitio Web Directo,Individual,2,2,True,2023-01,T1-2023
RES2023000007,2022-11-13,2023-01-01,2023-01-02,SUP044,Superior,Superior,Media Pensión,35525.0,1,35525.0,0.0,No Show,Otros,Colombia,Otros,Booking.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000008,2022-11-07,2023-01-01,2023-01-03,SUP046,Superior,Superior,Media Pensión,35525.0,2,71050.0,0.0,Check-out,Europa,Reino Unido,Europa,Booking.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000009,2022-11-19,2023-01-01,2023-01-06,STA022,Standard,Standard,Media Pensión,26825.0,5,134125.0,0.0,Cancelada,Brasil,Rio de Janeiro,Brasil,Directo Teléfono,Pareja,2,0,True,2023-01,T1-2023
RES2023000010,2022-11-13,2023-01-01,2023-01-05,SUP041,Superior,Superior,Solo Alojamiento,24500.0,4,87592.97,10407.03,Check-in,Estados Unidos,Miami,Estados Unidos,Booking.com,Pareja,3,1,True,2023-01,T1-2023
RES2023000011,2022-11-23,2023-01-01,2023-01-04,SUP055,Superior,Superior,Todo Incluido,40425.0,3,121275.0,0.0,Check-out,Europa,Francia,Europa,Agencia de Viajes,Grupo,3,1,True,2023-01,T1-2023
RES2023000012,2022-12-28,2023-01-01,2023-01-03,STA027,Standard,Standard,Todo Incluido,30525.0,2,61050.0,0.0,Cancelada,Brasil,Rio de Janeiro,Brasil,Sitio Web Directo,Familia,1,0,True,2023-01,T1-2023
RES2023000013,2022-10-28,2023-01-01,2023-01-08,SUP038,Superior,Superior,Alojamiento + Desayuno,30625.0,7,189566.26,24808.74,Check-out,Brasil,São Paulo,Brasil,Despegar.com,Familia,1,1,True,2023-01,T1-2023
RES2023000014,2022-12-11,2023-01-01,2023-01-02,STA031,Standard,Standard,Media Pensión,26825.0,1,26825.0,0.0,Check-in,Argentina,Mendoza,Argentina,Booking.com,Familia,2,0,True,2023-01,T1-2023
RES2023000015,2022-11-03,2023-01-01,2023-01-05,SUI065,Suite,Lujo,Alojamiento + Desayuno,48125.0,4,169745.68,22754.32,Check-in,Brasil,São Paulo,Brasil,Booking.com,Pareja,1,1,True,2023-01,T1-2023
RES2023000016,2022-11-18,2023-01-01,2023-01-03,STA008,Standard,Standard,Media Pensión,26825.0,2,47234.26,6415.74,Check-in,Brasil,São Paulo,Brasil,Booking.com,Familia,1,0,True,2023-01,T1-2023
RES2023000017,2022-10-05,2023-01-01,2023-01-03,STA026,Standard,Standard,Media Pensión,26825.0,2,53650.0,0.0,Check-out,Brasil,Rio de Janeiro,Brasil,Sitio Web Directo,Pareja,2,0,True,2023-01,T1-2023
RES2023000018,2022-12-14,2023-01-01,2023-01-03,FAM079,Familiar,Familiar,Media Pensión,45675.0,2,91350.0,0.0,Check-out,Estados Unidos,Miami,Estados Unidos,Despegar.com,Grupo,4,2,True,2023-01,T1-2023
RES2023000019,2022-10-16,2023-01-01,2023-01-03,STA024,Standard,Standard,Media Pensión,26825.0,2,48352.46,5297.54,Check-out,Estados Unidos,Miami,Estados Unidos,Booking.com,Grupo,2,0,True,2023-01,T1-2023
RES2023000020,2022-12-29,2023-01-01,2023-01-03,SUP043,Superior,Superior,Solo Alojamiento,24500.0,2,49000.0,0.0,Check-in,Brasil,São Paulo,Brasil,Expedia,Pareja,2,1,True,2023-01,T1-2023
