Sucursal,SKU,Producto,Categoria,VentasAnualizadas,StockPromedio,IndiceRotacion,ClasificacionABC
CABA_Centro,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,29208,433,67.45,A
CABA_Norte,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,31212,451,69.21,A
GBA_Sur,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,23208,397,58.46,A
GBA_Oeste,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,23796,127,187.37,A
La_Plata,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,26412,262,100.81,A
Rosario,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,20508,264,77.68,A
Córdoba,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,32772,227,144.37,A
Mendoza,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,16536,109,151.71,A
CABA_Centro,ALK-002,Azúcar Ledesma 1kg,ALMACEN,23928,249,96.1,A
CABA_Norte,ALK-002,Azúcar Ledesma 1kg,ALMACEN,30420,419,72.6,A
GBA_Sur,ALK-002,Azúcar Ledesma 1kg,ALMACEN,32472,75,432.96,A
GBA_Oeste,ALK-002,Azúcar Ledesma 1kg,ALMACEN,22512,296,76.05,A
La_Plata,ALK-002,Azúcar Ledesma 1kg,ALMACEN,24312,275,88.41,A
Rosario,ALK-002,Azúcar Ledesma 1kg,ALMACEN,25044,287,87.26,A
Córdoba,ALK-002,Azúcar Ledesma 1kg,ALMACEN,27672,424,65.26,A
Mendoza,ALK-002,Azúcar Ledesma 1kg,ALMACEN,24528,135,181.69,A
CABA_Centro,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,20952,424,49.42,A
CABA_Norte,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,34080,371,91.86,A
GBA_Sur,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,18648,239,78.03,A
GBA_Oeste,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,20064,140,143.31,A
La_Plata,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,28788,490,58.75,A
Rosario,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,25680,406,63.25,A
Córdoba,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,22740,298,76.31,A
Mendoza,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,28212,98,287.88,A
CABA_Centro,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,25416,300,84.72,A
CABA_Norte,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,23556,281,83.83,A
GBA_Sur,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,25428,61,416.85,A
GBA_Oeste,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,21600,399,54.14,A
La_Plata,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,22140,358,61.84,A
Rosario,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,22752,499,45.6,A
Córdoba,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,31656,465,68.08,A
Mendoza,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,21384,216,99.0,A
CABA_Centro,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,25032,406,61.66,A
CABA_Norte,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,21204,177,119.8,A
GBA_Sur,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,27900,279,100.0,A
GBA_Oeste,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,27684,146,189.62,A
La_Plata,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,34704,240,144.6,A
Rosario,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,23268,83,280.34,A
Córdoba,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,26052,315,82.7,A
Mendoza,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,22704,479,47.4,A
CABA_Centro,BEB-001,Agua Villa del Sur 2L,BEBIDAS,25908,127,204.0,A
CABA_Norte,BEB-001,Agua Villa del Sur 2L,BEBIDAS,27132,367,73.93,A
GBA_Sur,BEB-001,Agua Villa del Sur 2L,BEBIDAS,28896,499,57.91,A
GBA_Oeste,BEB-001,Agua Villa del Sur 2L,BEBIDAS,22296,388,57.46,A
La_Plata,BEB-001,Agua Villa del Sur 2L,BEBIDAS,24072,86,279.91,A
Rosario,BEB-001,Agua Villa del Sur 2L,BEBIDAS,21000,387,54.26,A
Córdoba,BEB-001,Agua Villa del Sur 2L,BEBIDAS,26232,224,117.11,A
Mendoza,BEB-001,Agua Villa del Sur 2L,BEBIDAS,24468,169,144.78,A
CABA_Centro,BEB-002,Coca-Cola 2.25L,BEBIDAS,25116,424,59.24,A
CABA_Norte,BEB-002,Coca-Cola 2.25L,BEBIDAS,21312,326,65.37,A
GBA_Sur,BEB-002,Coca-Cola 2.25L,BEBIDAS,27540,195,141.23,A
GBA_Oeste,BEB-002,Coca-Cola 2.25L,BEBIDAS,31596,461,68.54,A
La_Plata,BEB-002,Coca-Cola 2.25L,BEBIDAS,15708,132,119.0,A
Rosario,BEB-002,Coca-Cola 2.25L,BEBIDAS,32220,224,143.84,A
Córdoba,BEB-002,Coca-Cola 2.25L,BEBIDAS,26400,137,192.7,A
Mendoza,BEB-002,Coca-Cola 2.25L,BEBIDAS,27924,61,457.77,A
CABA_Centro,BEB-003,Cerveza Quilmes 1L,BEBIDAS,30648,452,67.81,A
CABA_Norte,BEB-003,Cerveza Quilmes 1L,BEBIDAS,27492,141,194.98,A
GBA_Sur,BEB-003,Cerveza Quilmes 1L,BEBIDAS,24348,299,81.43,A
GBA_Oeste,BEB-003,Cerveza Quilmes 1L,BEBIDAS,23604,70,337.2,A
La_Plata,BEB-003,Cerveza Quilmes 1L,BEBIDAS,17004,119,142.89,A
Rosario,BEB-003,Cerveza Quilmes 1L,BEBIDAS,27264,292,93.37,A
Córdoba,BEB-003,Cerveza Quilmes 1L,BEBIDAS,23220,278,83.53,A
Mendoza,BEB-003,Cerveza Quilmes 1L,BEBIDAS,16356,479,34.15,A
CABA_Centro,BEB-004,Vino Tinto Toro 1L,BEBIDAS,22512,407,55.31,A
CABA_Norte,BEB-004,Vino Tinto Toro 1L,BEBIDAS,26484,203,130.46,A
GBA_Sur,BEB-004,Vino Tinto Toro 1L,BEBIDAS,30684,134,228.99,A
GBA_Oeste,BEB-004,Vino Tinto Toro 1L,BEBIDAS,30720,441,69.66,A
La_Plata,BEB-004,Vino Tinto Toro 1L,BEBIDAS,23064,270,85.42,A
Rosario,BEB-004,Vino Tinto Toro 1L,BEBIDAS,28176,187,150.67,A
Córdoba,BEB-004,Vino Tinto Toro 1L,BEBIDAS,19116,389,49.14,A
Mendoza,BEB-004,Vino Tinto Toro 1L,BEBIDAS,31980,57,561.05,A
CABA_Centro,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,17880,87,205.52,A
CABA_Norte,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,30840,54,571.11,A
GBA_Sur,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,23856,247,96.58,A
GBA_Oeste,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,34044,107,318.17,A
La_Plata,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,21516,94,228.89,A
Rosario,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,29568,451,65.56,A
Córdoba,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,27300,244,111.89,A
Mendoza,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,27024,281,96.17,A
CABA_Centro,LIM-002,Detergente Magistral 750ml,LIMPIEZA,27048,235,115.1,A
CABA_Norte,LIM-002,Detergente Magistral 750ml,LIMPIEZA,28572,190,150.38,A
GBA_Sur,LIM-002,Detergente Magistral 750ml,LIMPIEZA,27372,282,97.06,A
GBA_Oeste,LIM-002,Detergente Magistral 750ml,LIMPIEZA,23424,452,51.82,A
La_Plata,LIM-002,Detergente Magistral 750ml,LIMPIEZA,19836,455,43.6,A
Rosario,LIM-002,Detergente Magistral 750ml,LIMPIEZA,18552,95,195.28,A
Córdoba,LIM-002,Detergente Magistral 750ml,LIMPIEZA,28452,218,130.51,A
Mendoza,LIM-002,Detergente Magistral 750ml,LIMPIEZA,28080,115,244.17,A
