TipoHabitacion,Mes,PrecioBase,MultiplicadorTemporada,PrecioTemporada,Temporada
Standard,2023-01,18500,1.32,24366.86,Alta
Standard,2023-02,18500,1.27,23476.34,Alta
Standard,2023-03,18500,1.09,20202.92,Media
Standard,2023-04,18500,1.04,19217.01,Media
Standard,2023-05,18500,0.83,15306.97,Baja
Standard,2023-06,18500,0.95,17552.64,Baja
Standard,2023-07,18500,1.27,23515.64,Alta
Standard,2023-08,18500,0.85,15680.07,Baja
Standard,2023-09,18500,0.92,16964.28,Baja
Standard,2023-10,18500,1.14,21169.93,Media
Standard,2023-11,18500,1.11,20477.61,Media
Standard,2023-12,18500,1.37,25333.7,Alta
Superior,2023-01,24500,1.21,29761.66,Alta
Superior,2023-02,24500,1.24,30316.78,Alta
Superior,2023-03,24500,1.12,27399.42,Media
Superior,2023-04,24500,1.18,28991.02,Media
Superior,2023-05,24500,0.89,21754.14,Baja
Superior,2023-06,24500,0.91,22389.26,Baja
Superior,2023-07,24500,1.34,32741.8,Alta
Superior,2023-08,24500,0.91,22258.99,Baja
Superior,2023-09,24500,0.89,21725.57,Baja
Superior,2023-10,24500,1.12,27515.29,Media
Superior,2023-11,24500,1.18,29018.21,Media
Superior,2023-12,24500,1.29,31497.94,Alta
Suite,2023-01,38500,1.39,53477.63,Alta
Suite,2023-02,38500,1.28,49154.04,Alta
Suite,2023-03,38500,1.11,42839.52,Media
Suite,2023-04,38500,1.11,42721.88,Media
Suite,2023-05,38500,0.93,35751.5,Baja
Suite,2023-06,38500,0.82,31570.43,Baja
Suite,2023-07,38500,1.39,53645.17,Alta
Suite,2023-08,38500,0.97,37188.21,Baja
Suite,2023-09,38500,0.83,31979.75,Baja
Suite,2023-10,38500,1.15,44386.88,Media
Suite,2023-11,38500,1.0,38688.1,Media
Suite,2023-12,38500,1.21,46469.23,Alta
Familiar,2023-01,31500,1.31,41406.41,Alta
Familiar,2023-02,31500,1.23,38677.29,Alta
Familiar,2023-03,31500,1.19,37594.46,Media
Familiar,2023-04,31500,1.0,31634.35,Media
Familiar,2023-05,31500,0.91,28627.83,Baja
Familiar,2023-06,31500,0.95,29866.63,Baja
Familiar,2023-07,31500,1.35,42438.86,Alta
Familiar,2023-08,31500,0.91,28711.24,Baja
Familiar,2023-09,31500,0.97,30528.84,Baja
Familiar,2023-10,31500,1.04,32688.0,Media
Familiar,2023-11,31500,1.17,36946.79,Media
Familiar,2023-12,31500,1.28,40271.64,Alta
