VentaID,Fecha,Sucursal,Zona,Cliente,Categoria,Producto,Cantidad,PrecioUnitario,CostoUnitario,Descuento,TotalVenta,Margen,Mes,Trimestre
VTA2023000001,2023-11-24,CABA_Norte,CABA,Supermercado Coto S.A.,LIMPIEZA,Detergente Magistral 750ml,23,385.86,320,0.0,8874.78,17.07,2023-11,T4-2023
VTA2023000002,2023-12-13,CABA_Norte,CABA,Kiosco Central,LACTEOS,Leche Entera La Serenísima 1L,18,254.64,220,0.0,4583.52,13.6,2023-12,T4-2023
VTA2023000003,2023-04-12,Córdoba,Interior,Supermercados La Anónima,LACTEOS,Dulce Leche Verónica 400g,5,585.38,480,0.0,2926.9,18.0,2023-04,T2-2023
VTA2023000004,2023-03-23,Córdoba,Interior,Kiosco 24 Horas,LIMPIEZA,Detergente Magistral 750ml,53,385.23,320,1229.54,19187.65,16.93,2023-03,T1-2023
VTA2023000005,2023-07-14,CABA_Norte,CABA,Maxikiosco Luz,LIMPIEZA,Limpiador Cif Crema 500g,15,510.77,420,0.0,7661.55,17.77,2023-07,T3-2023
VTA2023000006,2023-08-24,CABA_Norte,CABA,Almacén San José,ALMACEN,Dulce Leche San Ignacio 400g,90,636.11,520,6403.51,50846.39,18.25,2023-08,T3-2023
VTA2023000007,2023-07-05,GBA_Oeste,GBA,Supermercados Jumbo S.A.,ALMACEN,Fideos Moñito Matarazzo 500g,20,295.52,220,0.0,5910.4,25.55,2023-07,T3-2023
VTA2023000008,2023-02-21,Córdoba,Interior,Almacén Don Pedro,LACTEOS,Queso Cremón La Paulina 400g,27,809.65,680,0.0,21860.55,16.01,2023-02,T1-2023
VTA2023000009,2023-04-18,La_Plata,Interior,Supermercados Jumbo S.A.,BEBIDAS,Cerveza Quilmes 1L,29,333.44,280,0.0,9669.76,16.03,2023-04,T2-2023
VTA2023000010,2023-05-19,GBA_Oeste,GBA,Kiosco 24 Horas,ALMACEN,Fideos Moñito Matarazzo 500g,50,298.2,220,0.0,14910.0,26.22,2023-05,T2-2023
VTA2023000011,2023-07-25,La_Plata,Interior,Supermercados Jumbo S.A.,BEBIDAS,Fernet Branca 750ml,36,2947.73,2450,0.0,106118.28,16.89,2023-07,T3-2023
VTA2023000012,2023-08-23,GBA_Sur,GBA,Almacén Don Pedro,BEBIDAS,Cerveza Quilmes 1L,39,374.15,280,0.0,14591.85,25.16,2023-08,T3-2023
VTA2023000013,2023-05-15,Córdoba,Interior,Kiosco Central,LACTEOS,Queso Cremón La Paulina 400g,13,819.28,680,0.0,10650.64,17.0,2023-05,T2-2023
VTA2023000014,2023-09-18,Mendoza,Interior,Supermercados Jumbo S.A.,ALMACEN,Azúcar Ledesma 1kg,30,332.7,280,0.0,9981.0,15.84,2023-09,T3-2023
VTA2023000015,2023-12-15,Córdoba,Interior,Distribuidora Rápida,ALMACEN,Yerba Mate Playadito 500g,69,809.51,650,5748.24,50107.95,19.7,2023-12,T4-2023
VTA2023000016,2023-10-11,CABA_Centro,CABA,Supermercados DIA % S.A.,LIMPIEZA,Desengrasante Grasa Relief 500ml,47,432.27,350,0.0,20316.69,19.03,2023-10,T4-2023
VTA2023000017,2023-08-11,GBA_Sur,GBA,Mayorista El Economico,ALMACEN,Aceite Girasol Natura 1.5L,32,1365.11,980,0.0,43683.52,28.21,2023-08,T3-2023
VTA2023000018,2023-02-24,La_Plata,Interior,Mayorista Precio Bajo,BEBIDAS,Pepsi 2L,15,522.26,420,0.0,7833.9,19.58,2023-02,T1-2023
VTA2023000019,2023-10-04,CABA_Centro,CABA,Distribuidora Rápida,LIMPIEZA,Suavizante Vivere 1L,56,438.85,380,3388.29,21187.31,13.41,2023-10,T4-2023
VTA2023000020,2023-06-07,GBA_Oeste,GBA,Carrefour Argentina S.A.,BEBIDAS,Coca-Cola 2.25L,36,609.13,520,0.0,21928.68,14.63,2023-06,T2-2023
VTA2023000021,2023-03-06,GBA_Sur,GBA,Distribuidora Quick S.A.,BEBIDAS,Vino Tinto Toro 1L,43,871.7,680,0.0,37483.1,21.99,2023-03,T1-2023
VTA2023000022,2023-04-19,GBA_Oeste,GBA,Almacén El Progreso,LACTEOS,Queso Cremón La Paulina 400g,38,856.48,680,0.0,32546.24,20.61,2023-04,T2-2023
VTA2023000023,2023-03-03,GBA_Oeste,GBA,Supermercados La Anónima,ALMACEN,Sal Fina Celusal 500g,80,98.2,85,573.58,7282.42,13.44,2023-03,T1-2023
VTA2023000024,2023-01-04,CABA_Norte,CABA,Carrefour Argentina S.A.,BEBIDAS,Coca-Cola 2.25L,26,715.7,520,0.0,18608.2,27.34,2023-01,T1-2023
VTA2023000025,2023-02-06,GBA_Oeste,GBA,Almacén Don Pedro,LACTEOS,Yogur Firme La Serenísima 190g,41,154.18,120,0.0,6321.38,22.17,2023-02,T1-2023
VTA2023000026,2023-10-23,Mendoza,Interior,Supermercados La Anónima,LACTEOS,Manteca San Ignacio 200g,11,383.23,320,0.0,4215.53,16.5,2023-10,T4-2023
VTA2023000027,2023-12-04,Córdoba,Interior,Maxikiosco Luz,LACTEOS,Manteca San Ignacio 200g,8,405.36,320,0.0,3242.88,21.06,2023-12,T4-2023
VTA2023000028,2023-12-11,CABA_Norte,CABA,Carrefour Argentina S.A.,LACTEOS,Queso Cremón La Paulina 400g,11,918.1,680,0.0,10099.1,25.93,2023-12,T4-2023
VTA2023000029,2023-05-08,GBA_Oeste,GBA,Supermercados Changomás,LACTEOS,Yogur Firme La Serenísima 190g,22,150.66,120,0.0,3314.52,20.35,2023-05,T2-2023
VTA2023000030,2023-08-25,GBA_Oeste,GBA,Supermercados Jumbo S.A.,LACTEOS,Dulce Leche Verónica 400g,46,563.75,480,0.0,25932.5,14.86,2023-08,T3-2023
VTA2023000031,2023-10-04,CABA_Centro,CABA,Supermercados Jumbo S.A.,BEBIDAS,Pepsi 2L,35,525.67,420,0.0,18398.45,20.1,2023-10,T4-2023
VTA2023000032,2023-04-20,Córdoba,Interior,Carrefour Argentina S.A.,BEBIDAS,Jugo Baggio 1L,29,368.17,320,0.0,10676.93,13.08,2023-04,T2-2023
VTA2023000033,2023-05-16,Mendoza,Interior,Almacén El Progreso,LACTEOS,Dulce Leche Verónica 400g,36,631.42,480,0.0,22731.12,23.98,2023-05,T2-2023
VTA2023000034,2023-03-21,GBA_Oeste,GBA,Almacén El Progreso,BEBIDAS,Agua Villa del Sur 2L,39,233.06,180,0.0,9089.34,22.77,2023-03,T1-2023
VTA2023000035,2023-02-01,Rosario,Interior,Carrefour Argentina S.A.,ALMACEN,Mermelada La Campagnola 454g,77,482.29,380,2441.46,34694.87,21.21,2023-02,T1-2023
VTA2023000036,2023-09-18,CABA_Norte,CABA,Supermercados Vea S.A.,ALMACEN,Mermelada La Campagnola 454g,40,443.46,380,0.0,17738.4,14.31,2023-09,T3-2023
VTA2023000037,2023-07-26,CABA_Norte,CABA,Kiosco Central,BEBIDAS,Agua Villa del Sur 2L,31,234.87,180,0.0,7280.97,23.36,2023-07,T3-2023
