ReservaID,FechaEntrada,FechaSalida,Noches,TipoHabitacion,Plan,Mercado,Adultos,Ninos,TotalPersonas,TarifaNoche,ServiciosExtra,CostoServicios,Descuento,TotalReserva,Estado,CanalReserva,EsFinDeSemana,Mes,Trimestre,Temporada
RES000001,2023-01-01,2023-01-05,4,Familiar,Todo Incluido,Argentina,1,1,2,51975.0,Estacionamiento,1500,0.0,209400.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000002,2023-01-01,2023-01-02,1,Superior,Todo Incluido,Argentina,3,0,3,40425.0,Ninguno,0,0.0,40425.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000003,2023-01-01,2023-01-05,4,Familiar,Media Pensión,Argentina,1,1,2,45675.0,Ninguno,0,0.0,182700.0,Check-out,Directo,False,2023-01,T1,Alta
RES000004,2023-01-01,2023-01-03,2,Suite,Solo Alojamiento,Europa,4,0,4,46200.0,"Desayuno, Estacionamiento, Spa",4500,8027.79,88872.21,Check-out,Booking.com,False,2023-01,T1,Alta
RES000005,2023-01-01,2023-01-08,7,Suite,Todo Incluido,Europa,1,3,4,76230.0,Spa,1500,0.0,535110.0,Check-in,Sitio Web,False,2023-01,T1,Alta
RES000006,2023-01-01,2023-01-05,4,Familiar,Solo Alojamiento,Europa,1,3,4,37800.0,Estacionamiento,1500,0.0,152700.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000007,2023-01-01,2023-01-04,3,Standard,Todo Incluido,Argentina,1,1,2,30525.0,Ninguno,0,0.0,91575.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000008,2023-01-01,2023-01-04,3,Standard,Alojamiento + Desayuno,Europa,1,1,2,27750.0,Ninguno,0,0.0,83250.0,Cancelada,Booking.com,False,2023-01,T1,Alta
RES000009,2023-01-01,2023-01-03,2,Superior,Media Pensión,Argentina,1,0,1,35525.0,Ninguno,0,0.0,71050.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000010,2023-01-01,2023-01-03,2,Suite,Todo Incluido,Brasil,4,0,4,73053.75,Ninguno,0,0.0,146107.5,Check-out,Booking.com,False,2023-01,T1,Alta
RES000011,2023-01-01,2023-01-04,3,Standard,Todo Incluido,Argentina,2,0,2,30525.0,Ninguno,0,0.0,91575.0,Cancelada,Despegar,False,2023-01,T1,Alta
RES000012,2023-01-01,2023-01-05,4,Superior,Media Pensión,Argentina,1,0,1,35525.0,Desayuno,1500,0.0,143600.0,Check-out,Directo,False,2023-01,T1,Alta
RES000013,2023-01-01,2023-01-07,6,Familiar,Alojamiento + Desayuno,Argentina,4,0,4,39375.0,Ninguno,0,23359.38,212890.62,Check-out,Booking.com,False,2023-01,T1,Alta
RES000014,2023-01-01,2023-01-05,4,Familiar,Media Pensión,Argentina,1,2,3,45675.0,Ninguno,0,0.0,182700.0,Check-in,Sitio Web,False,2023-01,T1,Alta
RES000015,2023-01-01,2023-01-04,3,Standard,Solo Alojamiento,Argentina,2,0,2,18500.0,Estacionamiento,1500,0.0,57000.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000016,2023-01-01,2023-01-08,7,Suite,Todo Incluido,Brasil,2,0,2,73053.75,Ninguno,0,44131.46,467244.79,Check-out,Booking.com,False,2023-01,T1,Alta
RES000017,2023-01-01,2023-01-02,1,Standard,Media Pensión,Brasil,2,0,2,30848.75,Desayuno,1500,0.0,32348.75,Check-out,Booking.com,False,2023-01,T1,Alta
RES000018,2023-01-01,2023-01-04,3,Suite,Solo Alojamiento,Argentina,3,0,3,38500.0,Ninguno,0,0.0,115500.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000019,2023-01-01,2023-01-02,1,Familiar,Alojamiento + Desayuno,Otros Latinoamérica,2,2,4,43312.5,Desayuno,1500,0.0,44812.5,Check-out,Despegar,False,2023-01,T1,Alta
RES000020,2023-01-01,2023-01-05,4,Suite,Solo Alojamiento,Brasil,3,1,4,44275.0,Estacionamiento,1500,0.0,178600.0,Check-out,Agencia,False,2023-01,T1,Alta
RES000021,2023-01-01,2023-01-06,5,Familiar,Solo Alojamiento,Argentina,2,1,3,31500.0,Ninguno,0,0.0,157500.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000022,2023-01-01,2023-01-04,3,Standard,Media Pensión,Otros Latinoamérica,1,0,1,29507.5,Ninguno,0,0.0,88522.5,Check-out,Booking.com,False,2023-01,T1,Alta
RES000023,2023-01-01,2023-01-04,3,Standard,Alojamiento + Desayuno,Brasil,1,0,1,26593.75,Desayuno,1500,0.0,81281.25,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000024,2023-01-01,2023-01-04,3,Superior,Todo Incluido,Estados Unidos,2,0,2,50531.25,Ninguno,0,0.0,151593.75,Check-out,Booking.com,False,2023-01,T1,Alta
RES000025,2023-01-01,2023-01-04,3,Familiar,Todo Incluido,Argentina,1,4,5,51975.0,"Estacionamiento, Spa",3000,0.0,158925.0,Check-in,Directo,False,2023-01,T1,Alta
