VentaID,Fecha,Sucursal,ClienteID,SKU,Producto,Categoria,Cantidad,CostoUnitario,PrecioUnitario,Descuento,TotalVenta,Ganancia,MargenPorcentaje,Año,Mes,Trimestre,DiaSemana,Es_Finde
VTA00000001,2022-01-03,CABA_Norte,CLI050,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,23,750.91,940.0,0.0,21620.0,4349.07,20.12,2022,2022-01,T1-2022,Monday,False
VTA00000002,2022-01-03,CABA_Centro,CLI025,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,26,520.6,668.48,0.0,17380.48,3844.879999999999,22.12,2022,2022-01,T1-2022,Monday,False
VTA00000003,2022-01-03,CABA_Centro,CLI011,BEB-001,Agua Villa del Sur 2L,BEBIDAS,40,140.15,165.9,0.0,6636.0,1030.0,15.52,2022,2022-01,T1-2022,Monday,False
VTA00000004,2022-01-03,GBA_Oeste,CLI011,BEB-001,Agua Villa del Sur 2L,BEBIDAS,32,140.15,161.23,0.0,5159.36,674.5599999999995,13.07,2022,2022-01,T1-2022,Monday,False
VTA00000005,2022-01-03,CABA_Norte,CLI039,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,5,180.18,224.22,0.0,1121.1,220.19999999999982,19.64,2022,2022-01,T1-2022,Monday,False
VTA00000006,2022-01-03,Mendoza,CLI007,BEB-001,Agua Villa del Sur 2L,BEBIDAS,10,140.15,192.9,0.0,1929.0,527.5,27.35,2022,2022-01,T1-2022,Monday,False
VTA00000007,2022-01-03,GBA_Sur,CLI009,LIM-002,Detergente Magistral 750ml,LIMPIEZA,12,250.27,337.24,0.0,4046.88,1043.6399999999999,25.79,2022,2022-01,T1-2022,Monday,False
VTA00000008,2022-01-03,Córdoba,CLI037,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,70,750.91,953.08,8925.46,57790.14,5226.440000000002,9.04,2022,2022-01,T1-2022,Monday,False
VTA00000009,2022-01-03,La_Plata,CLI022,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,35,180.18,230.71,0.0,8074.85,1768.5500000000002,21.9,2022,2022-01,T1-2022,Monday,False
VTA00000010,2022-01-03,Rosario,CLI001,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,92,180.18,225.15,2097.79,18616.01,2039.449999999997,10.96,2022,2022-01,T1-2022,Monday,False
VTA00000011,2022-01-03,Mendoza,CLI034,LIM-002,Detergente Magistral 750ml,LIMPIEZA,57,250.27,329.64,1897.86,16891.62,2626.2299999999977,15.55,2022,2022-01,T1-2022,Monday,False
VTA00000012,2022-01-03,GBA_Sur,CLI047,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,36,520.6,705.44,0.0,25395.84,6654.239999999998,26.2,2022,2022-01,T1-2022,Monday,False
VTA00000013,2022-01-03,La_Plata,CLI011,LIM-002,Detergente Magistral 750ml,LIMPIEZA,80,250.27,308.76,2201.32,22499.48,2477.8799999999974,11.01,2022,2022-01,T1-2022,Monday,False
VTA00000014,2022-01-03,Mendoza,CLI025,ALK-002,Azúcar Ledesma 1kg,ALMACEN,53,220.24,284.83,779.42,14316.57,2643.8499999999985,18.47,2022,2022-01,T1-2022,Monday,False
VTA00000015,2022-01-03,CABA_Norte,CLI041,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,55,220.24,273.29,2250.96,12779.99,666.789999999999,5.22,2022,2022-01,T1-2022,Monday,False
VTA00000016,2022-01-03,CABA_Centro,CLI041,BEB-002,Coca-Cola 2.25L,BEBIDAS,36,400.51,489.39,0.0,17618.04,3199.6800000000003,18.16,2022,2022-01,T1-2022,Monday,False
VTA00000017,2022-01-03,GBA_Oeste,CLI035,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,16,180.18,229.0,0.0,3664.0,781.1199999999999,21.32,2022,2022-01,T1-2022,Monday,False
VTA00000018,2022-01-03,Mendoza,CLI025,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,15,350.42,468.83,0.0,7032.45,1776.1499999999996,25.26,2022,2022-01,T1-2022,Monday,False
VTA00000019,2022-01-03,GBA_Sur,CLI030,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,42,280.26,335.83,0.0,14104.86,2333.9400000000005,16.55,2022,2022-01,T1-2022,Monday,False
VTA00000020,2022-01-03,Rosario,CLI044,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,32,180.18,219.46,0.0,7022.72,1256.96,17.9,2022,2022-01,T1-2022,Monday,False
VTA00000021,2022-01-03,Córdoba,CLI001,LIM-002,Detergente Magistral 750ml,LIMPIEZA,18,250.27,294.61,0.0,5302.98,798.119999999999,15.05,2022,2022-01,T1-2022,Monday,False
VTA00000022,2022-01-03,Rosario,CLI046,BEB-004,Vino Tinto Toro 1L,BEBIDAS,32,520.6,610.25,0.0,19528.0,2868.7999999999993,14.69,2022,2022-01,T1-2022,Monday,False
VTA00000023,2022-01-03,CABA_Centro,CLI035,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,39,95.1,118.34,0.0,4615.26,906.3600000000006,19.64,2022,2022-01,T1-2022,Monday,False
VTA00000024,2022-01-03,Córdoba,CLI002,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,43,350.42,489.3,0.0,21039.9,5971.84,28.38,2022,2022-01,T1-2022,Monday,False
VTA00000025,2022-01-03,CABA_Centro,CLI049,BEB-003,Cerveza Quilmes 1L,BEBIDAS,31,220.24,284.2,0.0,8810.2,1982.7600000000002,22.51,2022,2022-01,T1-2022,Monday,False
VTA00000026,2022-01-03,CABA_Centro,CLI041,BEB-001,Agua Villa del Sur 2L,BEBIDAS,15,140.15,183.46,0.0,2751.9,649.6500000000001,23.61,2022,2022-01,T1-2022,Monday,False
VTA00000027,2022-01-03,Córdoba,CLI005,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,48,95.1,126.43,0.0,6068.64,1503.840000000001,24.78,2022,2022-01,T1-2022,Monday,False
VTA00000028,2022-01-03,Rosario,CLI043,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,20,350.42,423.57,0.0,8471.4,1462.999999999999,17.27,2022,2022-01,T1-2022,Monday,False
VTA00000029,2022-01-03,CABA_Centro,CLI049,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,39,520.6,666.2,0.0,25981.8,5678.399999999998,21.86,2022,2022-01,T1-2022,Monday,False
