SKU,Producto,Categoria,Total_Ventas,Total_Ganancia,Unidades_Vendidas,Veces_Vendido,Margen_Promedio,Contribucion
ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,100710359.84,15304940.76,90921,1666,16.42,18.147946799558426
LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,47165409.4,7131745.55,91985,1650,16.4,8.456520077990001
ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,44290986.35,6732266.08,86396,1621,16.6,7.982834339328194
LAC-002,Queso Cremón La Paulina 400g,LACTEOS,38115192.95,8188797.42,46454,1705,21.21,9.70992715756982
ALK-001,Harina 0000 Favorita 1kg,ALMACEN,36550154.51,5501618.17,93910,1680,16.27,6.523584470289971
BEB-004,Vino Tinto Toro 1L,BEBIDAS,36333243.0,7889472.81,44301,1623,21.4,9.355000785539971
LIM-002,Detergente Magistral 750ml,LIMPIEZA,31292050.21,4757073.55,87048,1590,16.46,5.640735175703257
BEB-002,Coca-Cola 2.25L,BEBIDAS,30357759.59,6525864.33,47118,1731,21.22,7.738091936396101
LIM-001,Lavandina Ayudín 1L,LIMPIEZA,29111454.69,4355906.15,92510,1682,16.25,5.165047961549208
ALK-002,Azúcar Ledesma 1kg,ALMACEN,28877913.93,4353893.5,91440,1664,16.39,5.162661446913254
ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,24630780.51,3727353.05,96208,1711,16.31,4.41973647041884
BEB-003,Cerveza Quilmes 1L,BEBIDAS,16327015.32,3523528.21,47849,1757,21.27,4.17804965759458
LAC-001,Leche Entera La Serenísima 1L,LACTEOS,12714456.09,2725627.68,46075,1702,21.27,3.2319331977632473
BEB-001,Agua Villa del Sur 2L,BEBIDAS,9978760.07,2135252.89,46558,1668,21.2,2.5318919203267396
LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,6857432.73,1480942.56,46778,1695,21.42,1.7560386030583932
