Mes,TotalVenta,Ganancia,CantidadVentas,TicketPromedio,MargenMensual
2022-01,18908867.35,3250390.75,1189,15903.168502943652,17.189769698183426
2022-02,11109889.84,1897160.98,674,16483.516083086055,17.076325754099468
2022-03,13601173.14,2277853.88,834,16308.361079136692,16.747480945603197
2022-04,12484435.69,2168332.75,741,16848.091349527665,17.36828803352985
2022-05,13624255.54,2369004.63,802,16987.849800498752,17.388140020162894
2022-06,24785514.23,4257411.1,1427,17368.965823405746,17.177013397797072
2022-07,21660011.7,3730442.45,1231,17595.46035743298,17.2227166894836
2022-08,14772552.92,2472527.12,829,17819.726079613993,16.737304197790614
2022-09,13849592.95,2341789.9,747,18540.285073627845,16.90872727057296
2022-10,12130904.65,2018864.85,664,18269.434713855422,16.64232724803422
2022-11,14998038.53,2515746.79,797,18818.116097867,16.77383869209196
2022-12,25535026.1,4354314.67,1368,18665.954751461988,17.05232120361921
2023-01,25155965.49,4325102.74,1314,19144.570388127853,17.193149440912197
2023-02,11814389.01,2015701.72,635,18605.337023622047,17.06141314877865
2023-03,16950331.84,2876183.86,856,19801.78953271028,16.96830414383203
2023-04,15638321.01,2718456.55,789,19820.432205323195,17.383301879157422
2023-05,15512288.62,2594861.63,767,20224.6266232073,16.72778075218665
2023-06,29028776.55,4957629.17,1357,21391.876602800294,17.07832626518323
2023-07,27781514.16,4752865.84,1325,20967.180498113208,17.10801582889678
2023-08,17224439.65,2964755.24,830,20752.336927710843,17.212491670229753
2023-09,17008855.02,2990310.91,776,21918.627603092784,17.58090657180521
2023-10,17863015.16,3126989.15,802,22273.086234413964,17.505382613133268
2023-11,15660824.9,2780890.87,733,21365.381855388812,17.75698845850706
2023-12,30265052.39,5132853.09,1258,24058.070262321144,16.95967026211383
2024-01,28937311.38,4895698.42,1271,22767.357498033045,16.918290561657564
2024-02,17665728.61,3005340.6599999997,728,24266.110728021977,17.012265535986856
2024-03,9345892.76,1542802.99,401,23306.465735660848,16.50781824293049
