InventarioID,ProductoID,Sucursal,StockActual,StockMinimo,StockMaximo,Ubicacion,UltimaActualizacion
INV-ALK-001-CABA_Centro,ALK-001,CABA_Centro,210,100,1000,PAS-7-EST-5,2024-03-15
INV-ALK-001-CABA_Norte,ALK-001,CABA_Norte,199,100,1000,PAS-7-EST-5,2024-03-15
INV-ALK-001-GBA_Sur,ALK-001,GBA_Sur,116,100,1000,PAS-10-EST-2,2024-03-15
INV-ALK-001-GBA_Oeste,ALK-001,GBA_Oeste,189,100,1000,PAS-4-EST-2,2024-03-15
INV-ALK-001-La_Plata,ALK-001,La_Plata,1001,100,1000,PAS-8-EST-3,2024-03-15
INV-ALK-001-Rosario,ALK-001,Rosario,816,100,1000,PAS-1-EST-1,2024-03-15
INV-ALK-001-Córdoba,ALK-001,Córdoba,937,100,1000,PAS-2-EST-3,2024-03-15
INV-ALK-001-Mendoza,ALK-001,Mendoza,1074,100,1000,PAS-10-EST-1,2024-03-15
INV-ALK-002-CABA_Centro,ALK-002,CABA_Centro,139,80,800,PAS-3-EST-1,2024-03-15
INV-ALK-002-CABA_Norte,ALK-002,CABA_Norte,469,80,800,PAS-5-EST-4,2024-03-15
INV-ALK-002-GBA_Sur,ALK-002,GBA_Sur,871,80,800,PAS-9-EST-3,2024-03-15
INV-ALK-002-GBA_Oeste,ALK-002,GBA_Oeste,730,80,800,PAS-7-EST-1,2024-03-15
INV-ALK-002-La_Plata,ALK-002,La_Plata,741,80,800,PAS-3-EST-5,2024-03-15
INV-ALK-002-Rosario,ALK-002,Rosario,766,80,800,PAS-7-EST-5,2024-03-15
INV-ALK-002-Córdoba,ALK-002,Córdoba,93,80,800,PAS-7-EST-3,2024-03-15
INV-ALK-002-Mendoza,ALK-002,Mendoza,314,80,800,PAS-8-EST-3,2024-03-15
INV-ALK-003-CABA_Centro,ALK-003,CABA_Centro,363,120,1200,PAS-2-EST-5,2024-03-15
INV-ALK-003-CABA_Norte,ALK-003,CABA_Norte,1104,120,1200,PAS-7-EST-4,2024-03-15
INV-ALK-003-GBA_Sur,ALK-003,GBA_Sur,934,120,1200,PAS-9-EST-4,2024-03-15
INV-ALK-003-GBA_Oeste,ALK-003,GBA_Oeste,1360,120,1200,PAS-8-EST-3,2024-03-15
INV-ALK-003-La_Plata,ALK-003,La_Plata,1392,120,1200,PAS-3-EST-3,2024-03-15
INV-ALK-003-Rosario,ALK-003,Rosario,1253,120,1200,PAS-10-EST-3,2024-03-15
INV-ALK-003-Córdoba,ALK-003,Córdoba,378,120,1200,PAS-9-EST-1,2024-03-15
INV-ALK-003-Mendoza,ALK-003,Mendoza,273,120,1200,PAS-4-EST-4,2024-03-15
INV-ALK-004-CABA_Centro,ALK-004,CABA_Centro,802,150,1500,PAS-2-EST-4,2024-03-15
INV-ALK-004-CABA_Norte,ALK-004,CABA_Norte,475,150,1500,PAS-7-EST-4,2024-03-15
INV-ALK-004-GBA_Sur,ALK-004,GBA_Sur,929,150,1500,PAS-1-EST-2,2024-03-15
INV-ALK-004-GBA_Oeste,ALK-004,GBA_Oeste,665,150,1500,PAS-7-EST-5,2024-03-15
INV-ALK-004-La_Plata,ALK-004,La_Plata,468,150,1500,PAS-8-EST-4,2024-03-15
INV-ALK-004-Rosario,ALK-004,Rosario,485,150,1500,PAS-1-EST-2,2024-03-15
INV-ALK-004-Córdoba,ALK-004,Córdoba,652,150,1500,PAS-8-EST-2,2024-03-15
INV-ALK-004-Mendoza,ALK-004,Mendoza,1131,150,1500,PAS-6-EST-3,2024-03-15
INV-ALK-005-CABA_Centro,ALK-005,CABA_Centro,310,60,600,PAS-5-EST-1,2024-03-15
INV-ALK-005-CABA_Norte,ALK-005,CABA_Norte,159,60,600,PAS-6-EST-5,2024-03-15
INV-ALK-005-GBA_Sur,ALK-005,GBA_Sur,286,60,600,PAS-2-EST-1,2024-03-15
INV-ALK-005-GBA_Oeste,ALK-005,GBA_Oeste,659,60,600,PAS-2-EST-4,2024-03-15
INV-ALK-005-La_Plata,ALK-005,La_Plata,379,60,600,PAS-3-EST-3,2024-03-15
INV-ALK-005-Rosario,ALK-005,Rosario,665,60,600,PAS-3-EST-2,2024-03-15
INV-ALK-005-Córdoba,ALK-005,Córdoba,169,60,600,PAS-7-EST-1,2024-03-15
INV-ALK-005-Mendoza,ALK-005,Mendoza,615,60,600,PAS-1-EST-2,2024-03-15
INV-BEB-001-CABA_Centro,BEB-001,CABA_Centro,1530,200,2000,PAS-10-EST-2,2024-03-15
INV-BEB-001-CABA_Norte,BEB-001,CABA_Norte,503,200,2000,PAS-10-EST-5,2024-03-15
INV-BEB-001-GBA_Sur,BEB-001,GBA_Sur,1926,200,2000,PAS-6-EST-5,2024-03-15
INV-BEB-001-GBA_Oeste,BEB-001,GBA_Oeste,933,200,2000,PAS-7-EST-4,2024-03-15
INV-BEB-001-La_Plata,BEB-001,La_Plata,570,200,2000,PAS-3-EST-4,2024-03-15
INV-BEB-001-Rosario,BEB-001,Rosario,2280,200,2000,PAS-6-EST-2,2024-03-15
INV-BEB-001-Córdoba,BEB-001,Córdoba,207,200,2000,PAS-6-EST-2,2024-03-15
