PedidoID,FechaPedido,ProveedorID,ProductoID,CantidadPedida,PrecioCompra,TotalPedido,Estado,CantidadRecibida,FechaRecepcion,SucursalDestino
PED-00001,2023-02-08,PROV-002,LAC-001,126,283.17,35679.42,RECIBIDO,118,2023-02-11,Rosario
PED-00002,2023-09-22,PROV-004,BEB-002,936,701.58,656680.65,EN_CAMINO,876,2023-09-27,Rosario
PED-00003,2024-01-10,PROV-005,BEB-003,837,361.95,302948.99,RECIBIDO,781,2024-01-22,CABA_Centro
PED-00004,2024-02-02,PROV-001,ALK-003,217,577.61,125341.97,APROBADO,0,,CABA_Centro
PED-00005,2023-05-20,PROV-002,LAC-002,979,871.41,853112.75,CANCELADO,0,,La_Plata
PED-00006,2023-05-26,PROV-001,ALK-005,125,1233.7,154213.03,EN_CAMINO,119,2023-06-10,GBA_Oeste
PED-00007,2023-01-14,PROV-001,ALK-002,422,347.89,146810.64,EN_CAMINO,421,2023-01-20,Rosario
PED-00008,2023-02-18,PROV-003,LIM-002,456,411.44,187618.07,EN_CAMINO,451,2023-03-04,CABA_Centro
PED-00009,2023-07-09,PROV-001,ALK-002,143,347.46,49687.46,APROBADO,0,,La_Plata
PED-00010,2023-10-07,PROV-001,ALK-002,385,355.92,137031.0,PENDIENTE,0,,La_Plata
PED-00011,2023-12-16,PROV-004,BEB-002,250,688.56,172140.62,APROBADO,0,,GBA_Oeste
PED-00012,2023-08-18,PROV-001,ALK-003,173,574.23,99341.75,EN_CAMINO,169,2023-09-01,CABA_Centro
PED-00013,2023-05-10,PROV-005,BEB-004,542,838.38,454404.16,PENDIENTE,0,,La_Plata
PED-00014,2023-11-09,PROV-001,ALK-003,513,582.17,298655.03,CANCELADO,0,,La_Plata
PED-00015,2023-11-09,PROV-006,ALK-004,834,277.47,231407.81,PENDIENTE,0,,GBA_Oeste
PED-00016,2023-04-21,PROV-001,ALK-001,149,415.93,61973.6,APROBADO,0,,GBA_Sur
PED-00017,2023-02-06,PROV-006,ALK-004,597,284.62,169917.55,CANCELADO,0,,Rosario
PED-00018,2023-06-30,PROV-003,LIM-002,434,416.15,180611.1,RECIBIDO,392,2023-07-10,Mendoza
PED-00019,2023-12-03,PROV-004,BEB-001,636,228.31,145206.96,PENDIENTE,0,,GBA_Oeste
PED-00020,2023-01-08,PROV-002,LAC-002,751,843.85,633733.78,CANCELADO,0,,La_Plata
PED-00021,2023-01-14,PROV-004,BEB-001,372,225.12,83742.79,APROBADO,0,,La_Plata
PED-00022,2023-10-13,PROV-005,BEB-003,607,362.07,219774.12,EN_CAMINO,578,2023-10-23,Rosario
PED-00023,2023-12-18,PROV-005,BEB-003,669,343.31,229673.81,EN_CAMINO,666,2023-12-29,CABA_Norte
PED-00024,2023-10-10,PROV-003,LIM-001,118,345.72,40795.51,PENDIENTE,0,,CABA_Norte
PED-00025,2023-11-05,PROV-003,LIM-001,294,349.55,102768.04,APROBADO,0,,CABA_Centro
PED-00026,2023-04-19,PROV-002,LAC-002,413,862.2,356089.59,PENDIENTE,0,,CABA_Centro
PED-00027,2023-07-05,PROV-002,LAC-003,834,147.42,122949.78,PENDIENTE,0,,Córdoba
PED-00028,2023-01-20,PROV-002,LAC-003,409,151.22,61847.03,PENDIENTE,0,,Rosario
