VentaID,FechaVenta,ClienteID,ProductoID,Cantidad,PrecioUnitario,DescuentoPorcentaje,TotalDescuento,TotalVenta,Estado,MetodoPago,VendedorID,Sucursal
VTA00000001,2023-01-02,CLI022,ALK-003,66,829.63,1,547.55,54207.77,COMPLETADA,Efectivo,VEND-05,La_Plata
VTA00000002,2023-01-02,CLI004,ALK-005,99,1912.22,3,5679.28,183630.09,COMPLETADA,MercadoPago,VEND-04,CABA_Norte
VTA00000003,2023-01-02,CLI003,ALK-005,89,1781.95,1,1585.94,157007.87,COMPLETADA,Tarjeta Crédito,VEND-04,La_Plata
VTA00000004,2023-01-02,CLI007,LAC-002,34,1198.12,1,407.36,40328.56,COMPLETADA,Tarjeta Crédito,VEND-03,Mendoza
VTA00000005,2023-01-02,CLI021,BEB-002,50,998.73,5,2496.81,47439.48,COMPLETADA,Tarjeta Crédito,VEND-10,Córdoba
VTA00000006,2023-01-02,CLI010,ALK-001,66,677.24,10,4469.77,40227.9,COMPLETADA,Tarjeta Crédito,VEND-01,CABA_Norte
VTA00000007,2023-01-02,CLI029,ALK-002,17,499.32,0,0.0,8488.44,COMPLETADA,MercadoPago,VEND-08,La_Plata
VTA00000008,2023-01-02,CLI039,LAC-003,37,226.77,9,755.14,7635.34,COMPLETADA,Efectivo,VEND-05,GBA_Oeste
VTA00000009,2023-01-02,CLI034,ALK-002,34,540.74,0,0.0,18385.14,COMPLETADA,Transferencia,VEND-07,La_Plata
VTA00000010,2023-01-02,CLI037,BEB-003,13,498.71,0,0.0,6483.2,COMPLETADA,Tarjeta Crédito,VEND-08,La_Plata
VTA00000011,2023-01-02,CLI030,LIM-003,11,851.64,0,0.0,9368.0,COMPLETADA,Tarjeta Crédito,VEND-07,La_Plata
VTA00000012,2023-01-02,CLI014,ALK-002,21,543.6,0,0.0,11415.53,COMPLETADA,Tarjeta Crédito,VEND-07,CABA_Norte
VTA00000013,2023-01-02,CLI017,BEB-001,35,346.71,1,121.35,12013.63,COMPLETADA,Transferencia,VEND-09,CABA_Centro
VTA00000014,2023-01-02,CLI047,BEB-003,30,528.55,0,0.0,15856.61,COMPLETADA,Efectivo,VEND-09,Córdoba
VTA00000015,2023-01-02,CLI028,ALK-003,62,890.55,4,2208.56,53005.42,COMPLETADA,Transferencia,VEND-03,CABA_Centro
VTA00000016,2023-01-02,CLI036,BEB-004,39,1263.21,4,1970.61,47294.74,COMPLETADA,Tarjeta Crédito,VEND-09,GBA_Oeste
VTA00000017,2023-01-02,CLI016,LAC-001,43,429.02,9,1660.31,16787.58,COMPLETADA,MercadoPago,VEND-03,Rosario
